seiban,fX,fY,prefectures
新東京アスコン,139.88541,35.66848,13東京都
大成ロテック（株）　東京青海合材工場,139.79771,35.60381,13東京都
砂町アスコン（株）　東京合材工場,139.82896,35.65968,13東京都
前田道路（株）　昭島合材工場,139.34344,35.70207,13東京都
共同企業体　墨田アスコン,139.83881,35.71808,13東京都
（株）ガイアート　多摩合材工場,139.32814,35.77246,13東京都
多摩アスコン（株）,139.43768,35.66504,13東京都
（株）アスケン,139.78125,35.75491,13東京都
共同企業体　瑞穂アスコン,139.35255,35.75879,13東京都
前田道路（株）　西東京合材工場,139.35602,35.65235,13東京都
町田共同アスコン,139.46439,35.60843,13東京都
西多摩アスコン,139.21674,35.76409,13東京都
相模県央アスコン,139.39323,35.49987,14神奈川県
共同企業体綾瀬アスコン,139.41624,35.44812,14神奈川県
東亜道路工業（株）　厚木アスコン,139.37207,35.45617,14神奈川県
共同企業体湘南アスコン,139.37331,35.35267,14神奈川県
前田道路（株）　小田原合材工場,139.16002,35.27538,14神奈川県
世紀東急工業（株）　横浜混合所,139.54878,35.52877,14神奈川県
共同企業体　金沢アスコン,139.64084,35.38214,14神奈川県
日本舗材（株）,139.54791,35.51664,14神奈川県
大和アスコン（株）,139.4651,35.49411,14神奈川県
共同企業体　相模原ひばりアスコン,139.33675,35.56103,14神奈川県
前田道路（株）　横浜合材工場,139.58324,35.3385,14神奈川県
共同企業体 相模アスコン,139.48012,35.50018,14神奈川県
京浜リサイクルセンター,139.74348,35.52504,14神奈川県
西湘アスコン（株）,139.15727,35.35267,14神奈川県
川崎アスコン共同企業体　水江工場,139.74823,35.50901,14神奈川県
横浜アスコン共同企業体,139.47307,35.49636,14神奈川県
日本道路（株）　神奈川合材センター,139.48355,35.43509,14神奈川県
平塚アスコン共同企業体,139.29913,35.3683,14神奈川県
横浜ベイアスコン（株）,139.62323,35.40155,14神奈川県
川崎シーサイドアスコン,139.75844,35.53123,14神奈川県
前田道路（株）　東京製品販売所,139.60208,35.61056,14神奈川県
（株）日徳　船津瀝青混合所,138.77925,35.49419,19山梨県
石井工業（株）,138.83449,35.59886,19山梨県
山英建設（株）　大幡瀝青工場,138.83997,35.56566,19山梨県
日東建設（株）　南アルプスアスコン,138.49895,35.62996,19山梨県
南湖共同アスコン,138.48422,35.57178,19山梨県
（株）中村建設　白根工場,138.49844,35.64347,19山梨県
山梨アスコン（株）,138.62288,35.61132,19山梨県
（株）早野組　八田工場,138.47957,35.66921,19山梨県
（株）早野組　身延工場,138.45821,35.39043,19山梨県
丸浜舗道（株）　双葉アスファルト合材工場,138.49237,35.67941,19山梨県
大鴻建設（株）　穴山合材工場　＊使用不可＊,138.41689,35.75767,19山梨県
常盤工業（株）　茅野工場,138.17932,35.97278,20長野県
（株）NIPPO　木曽合材所,137.76794,35.86617,20長野県
塩沢アスコン,138.34911,36.34904,20長野県
世紀東急工業（株）　南木曽合材工場,137.54323,35.60135,20長野県
（株）植木組　柏崎アスファルトプラント,138.55983,37.38262,15新潟県
さくらアスコン共同企業体,138.30328,37.16866,15新潟県
魚沼アスコン,138.9014,37.09068,15新潟県
大野プラント共同企業体,139.01878,37.84217,15新潟県
北川ヒューテック（株）　糸魚川合材所,137.91669,37.05593,15新潟県
佐渡アスコン共同企業体,138.34499,37.98922,15新潟県
上越舗道（株）　津南工場,138.64056,37.00238,15新潟県
大成ロテック（株）　新潟合材工場,139.00784,37.70405,15新潟県
共同企業体　荒川共同アスコン,139.45016,38.13325,15新潟県
長岡アスコン共同企業体,138.81819,37.43302,15新潟県
にいがた舗道（株）,138.412,38.03466,15新潟県
新潟舗材（株）　寺地工場,139.0128,37.88308,15新潟県
新潟舗材（株）　島見工場,139.1949,37.96852,15新潟県
新潟みらい建設（株）　石打アスファルトプラント,138.80348,36.9691,15新潟県
日本道路（株）　新潟合材センター,139.06583,37.72567,15新潟県
日本道路（株）　佐渡混合所,138.25555,38.02155,15新潟県
エイ・エックス（株）　紫竹工場,139.07671,37.9011,15新潟県
エイ・エックス（株）　新潟東工場,139.27939,38.01524,15新潟県
共同企業体　上越舗材,138.28416,37.07972,15新潟県
エイ・エックス（株）　小千谷工場,138.7925,37.36319,15新潟県
共同企業体　アステック長岡,138.80234,37.3924,15新潟県
福田道路（株）　上越合材工場,138.30551,37.1469,15新潟県
（株）北越トラスト,138.84085,37.27126,15新潟県
五泉舗材（株）,139.21674,37.74946,15新潟県
村上舗材（株）,139.49785,38.25153,15新潟県
下越アスコン共同企業体,139.28191,38.02249,15新潟県
共同企業体ほたるアスコン,138.8936,37.66456,15新潟県
共同企業体　阿賀野アスコン,139.20088,37.80349,15新潟県
十日町舗材（株）,138.73152,37.13792,15新潟県
上越アスコン共同企業体,138.22148,36.96222,15新潟県
糸魚川アスコン共同企業体,137.84915,37.03268,15新潟県
共同企業体　直江津アスコン,138.2836,37.19133,15新潟県
石黒工建（株）,136.88704,36.68783,16富山県
協和アスコン（株）,137.03346,36.72897,16富山県
アスカロード（株）,137.18275,36.65379,16富山県
日本海アスコン（株）,137.5554,36.71848,16富山県
東洋道路興業（株） アスファルトプラント,136.90094,36.60033,16富山県
富舗建設（株）　立山合材工場,137.28566,36.68617,16富山県
庄川アスコン（株）　高岡合材工場,137.01595,36.70998,16富山県
北陸アスコン（株）,137.27522,36.72693,16富山県
ほくりくエコン,137.19612,36.66903,16富山県
アルカスコーポレーション（株）　アルカスアスコン,136.97942,36.64338,16富山県
（株）氷見アスコン,136.99434,36.80838,16富山県
（株）クリーンロードみやの,137.47847,36.86003,16富山県
チューリップアスコン（株）　＊使用不可＊,136.99457,36.61008,16富山県
日本道路（株）　富山合材センター,137.12569,36.74351,16富山県
（株）金沢舗道　港工場,136.60999,36.62321,17石川県
北川ヒューテック（株）　手取合材所,136.51016,36.46886,17石川県
盛進工業（株）　深江工場,136.79836,36.90339,17石川県
（株）太陽アスコン,136.48207,36.42508,17石川県
大同開発（株）　川北工場,136.56535,36.46799,17石川県
辰村道路（株）　津幡合材工場,136.75632,36.6563,17石川県
（株）グリーンテック　珠洲合材工場,137.19646,37.45349,17石川県
七尾アスコン共同企業体,136.91983,37.02317,17石川県
吉田道路（株） アスファルト合材工場,136.99374,37.05076,17石川県
能登アスコン（株）,136.91248,37.23087,17石川県
大同開発（株）　能登工場,136.93492,37.29234,17石川県
加賀アスコン（株）　朝日工場,136.54228,36.46863,17石川県
金沢アスコン,136.64751,36.63688,17石川県
（株）カンチ　岐阜アスコン,136.69873,35.40397,21岐阜県
（株）カンチ　中濃アスコン,136.93564,35.5784,21岐阜県
（株）カンチ　高山アスコン,137.224,36.1388,21岐阜県
鹿島道路（株）　岐阜アスコン,136.89684,35.41094,21岐阜県
岐建（株）　大垣アスファルト合材工場,136.57765,35.37383,21岐阜県
東亜道路工業（株）　木曽川アスコン,136.86784,35.37675,21岐阜県
（株）佐竹組　養老事業所,136.52467,35.33694,21岐阜県
（株）佐藤渡辺　南飛アスコン,137.19115,35.90817,21岐阜県
西濃建設（株）西濃アスコン大野センター,136.59616,35.4604,21岐阜県
セントラル建設（株）　恵那アスコンセンター,137.3725,35.4474,21岐阜県
ＴＳＵＣＨＩＹＡ（株）　リサイクルセンター,136.59955,35.24056,21岐阜県
東京鋪装工業（株）　飛騨合材工場,137.16458,36.28212,21岐阜県
日本道路（株）　関合材センター,136.86223,35.49416,21岐阜県
東濃アスコン（株）　本社工場,136.98041,35.42894,21岐阜県
（株）リサイクル濃飛　神岡営業所,137.26025,36.27617,21岐阜県
（株）リサイクル濃飛　本社工場,136.89177,35.83135,21岐阜県
福田道路（株）　多治見合材工場,137.06325,35.33868,21岐阜県
